league,lat,long,team,color1,color2,teamID,metroID
NCAA BB,38.89838, -77.02098,Georgetown Hoyas,#041E42,#8D817B,282,  61
NCAA BB,47.66550,-117.39873,Gonzaga Bulldogs,#041E42,#C8102E,283,1032
NCAA BB,32.52432, -92.71261,Grambling Tigers,#eaa921,#000000,284,5332
NCAA BB,44.50072, -88.05679,Green Bay Phoenix,#006747,#9D2235,285,1036
NCAA BB,37.02000, -76.33166,Hampton Pirates,#0060A9,#ffffff,286, 426
NCAA BB,41.80227, -72.71664,Hartford Hawks,#c02427,#0f0708,287, 304
NCAA BB,42.36827, -71.12940,Harvard Crimson,#A41034,#808285,288,  85
NCAA BB,35.97616, -79.99637,High Point Panthers,#330072,#ffffff,289, 768
NCAA BB,40.72006, -73.59649,Hofstra Pride,#0B1E73,#FEB612,290,   5
NCAA BB,42.23486, -71.80623,Holy Cross Crusaders,#602d89,#FFFFFF,291, 801
NCAA BB,38.92648, -77.02222,Howard University Bison,#003a63,#e51937,292,  61
NCAA BB,42.86501,-112.42877,Idaho State Bengals,#FF671F,#F9A81A,293,3887
NCAA BB,46.72612,-117.01763,Idaho Vandals,#B3A369,#EAAB00,294,3186
NCAA BB,40.51068, -88.99918,Illinois State Redbirds,#ce1126,#F9DD16,295,2601
NCAA BB,39.46858, -87.40524,Indiana State Sycamores,#0142BC,#0142BC,296,3295
NCAA BB,39.77164, -86.17431,Indiana University/Purdue University - Indiana,#C8102E,#041E42,297, 415
NCAA BB,40.92914, -73.78299,Iona Gaels,#6F2C3F,#F2A900,298,   5
NCAA BB,32.29976, -90.21170,Jackson State Tigers,#002147,#008ED6,299,1438
NCAA BB,30.35025, -81.60500,Jacksonville Dolpins,#004E44,#898a8d,300, 566
NCAA BB,33.82410, -85.77361,Jacksonville State Gamecocks,#CC0000,#ffffff,301,2350
NCAA BB,34.03721, -84.58016,Kennesaw State Owls,#FDBB30,#0B1315,302, 108
NCAA BB,40.04001, -75.15675,La Salle Explores,#00245D,#0065A4,303,  67
NCAA BB,40.70202, -75.21038,Lafayette Leopards,#a8996e,#98002e,304, 477
NCAA BB,30.04499, -94.07169,Lamar Cardinals,#dc0032,#ffffff,305,1692
NCAA BB,40.58474, -75.35710,Lehigh Mountain Hawks,#653600,#ffd24f,306, 477
NCAA BB,36.10363, -86.79901,Lipscomb Bisons,#331E54,#F4AA00,307, 502
NCAA BB,33.78694,-118.11513,Long Beach State 49'ers,#ffc72a,#FFC72A,308,  23
NCAA BB,37.29741, -78.39577,Longwood Lancers,#15213B,#999D9E,309,7617
NCAA BB,39.34641, -76.61827,Loyola Greyhounds,#b62b3a,#00447c,310, 311
NCAA BB,33.96871,-118.41593,Loyola Marymount Lions,#b62b3a,#00447c,311,  23
NCAA BB,42.00059, -87.65906,Loyola Ramblers,#922247,#FEBD18,312,  39
NCAA BB,44.90448, -68.67370,Maine Black Bears,#003263,#B0D7FF,313,3434
NCAA BB,40.89117, -73.90006,Manhattan Jaspers,#00703C,#00703C,314,   5
NCAA BB,41.71810, -73.93432,Marist Redfoxes,#C8102E,#b2b2b2,315, 664
NCAA BB,43.04346, -87.91736,Marquette Golden Eagles,#003366,#ffcc00,316, 386
NCAA BB,38.21207, -75.68768,Maryland Eastern Shore Hawks,#862633,#888B8D,317,2562
