"county","state","lat","long","population"
"Santa Fe","New Mexico",35.5069,-105.9763,150319
"Stafford","Virginia",38.4207,-77.458,150185
"Cumberland","New Jersey",39.3738,-75.1107,150085
"Monroe","Michigan",41.9291,-83.5394,150000
"Comal","Texas",29.8082,-98.2783,148921
"Citrus","Florida",28.8489,-82.4794,147938
"Monroe","Indiana",39.1609,-86.5231,147318
"Scott","Minnesota",44.6485,-93.5359,147201
"Orange","North Carolina",36.0611,-79.1207,146354
"Coweta","Georgia",33.3534,-84.7634,145839
"Douglas","Georgia",33.7018,-84.768,145063
"Sandoval","New Mexico",35.6886,-106.8659,144954
"Canadian","Oklahoma",35.5424,-97.9824,144610
"Randolph","North Carolina",35.7103,-79.806,143460
"Jackson","Mississippi",30.5423,-88.6357,142872
"Rock Island","Illinois",41.4673,-90.5674,142801
"Coconino","Arizona",35.8387,-111.7705,142254
"Schuylkill","Pennsylvania",40.7058,-76.2159,141935
"Sussex","New Jersey",41.1393,-74.6908,140996
"Rowan","North Carolina",35.6394,-80.5248,140978
"Wilson","Tennessee",36.1549,-86.2977,140604
"Livingston","Louisiana",30.4401,-90.7279,140524
"Lebanon","Pennsylvania",40.3672,-76.4577,140410
"Napa","California",38.5065,-122.3305,138572
"Parker","Texas",32.7776,-97.8051,138447
"Florence","South Carolina",34.0245,-79.703,138237
"Taylor","Texas",32.3015,-99.8902,137521
"Brunswick","North Carolina",34.071,-78.2377,137303
"Wright","Minnesota",45.1739,-93.9631,136387
"Humboldt","California",40.6993,-123.8756,136101
"Randall","Texas",34.9659,-101.8969,136005
"Washington","Wisconsin",43.3685,-88.2307,135529
"Marathon","Wisconsin",44.8983,-89.7591,135485
"Hampton","Virginia",37.0551,-76.363,135169
"Spotsylvania","Virginia",38.1849,-77.6561,134683
"Clark","Ohio",39.9168,-83.7839,134409
"Harnett","North Carolina",35.3688,-78.8693,134328
"Calhoun","Michigan",42.2465,-85.0056,133943
"Tangipahoa","Louisiana",30.6266,-90.4057,133753
"Grayson","Texas",33.6268,-96.6777,133527
"Tazewell","Illinois",40.5075,-89.5134,132524
"Boone","Kentucky",38.9699,-84.7278,132368
"Wichita","Texas",33.988,-98.7036,132154
"Black Hawk","Iowa",42.4701,-92.3088,131813
"Robeson","North Carolina",34.6402,-79.1039,131656
"Blount","Tennessee",35.6872,-83.9255,131641
"Cambria","Pennsylvania",40.4953,-78.7135,131611
"Warren","Kentucky",36.9936,-86.4238,130836
"Wood","Ohio",41.3617,-83.623,130662
"Rapides","Louisiana",31.1986,-92.5332,130376
"Fayette","Pennsylvania",39.9201,-79.6474,130329
"Strafford","New Hampshire",43.297,-71.0289,130161
"Sumter","Florida",28.7048,-82.081,129938
"Kaufman","Texas",32.5993,-96.2878,129792
"Madison","Indiana",40.1617,-85.7194,129486
"Washington","Tennessee",36.2933,-82.4974,128874
"Sebastian","Arkansas",35.1988,-94.2743,127670
"Chautauqua","New York",42.2281,-79.3663,127584
"Kendall","Illinois",41.5906,-88.4288,127583
"Skagit","Washington",48.4793,-121.7305,127442
"Linn","Oregon",44.4887,-122.5344,127216
"Bossier","Louisiana",32.6784,-93.6049,126952
"Clarke","Georgia",33.9512,-83.3673,126952
"Cochise","Arizona",31.8795,-109.7512,126442
"Cache","Utah",41.7224,-111.7436,126336
"Washington","Rhode Island",41.4697,-71.6225,126139
"Berkshire","Massachusetts",42.3707,-73.2064,125927
"San Juan","New Mexico",36.5085,-108.3206,125608
"Pickens","South Carolina",34.8873,-82.7253,125381
"Hunterdon","New Jersey",40.5673,-74.9122,125063
"Ascension","Louisiana",30.2036,-90.9113,125061
"Faulkner","Arkansas",35.147,-92.332,124800
"Wayne","North Carolina",35.364,-78.004,123785
"Gregg","Texas",32.4805,-94.817,123633
"Blair","Pennsylvania",40.4811,-78.3484,122495
"Kennebec","Maine",44.4091,-69.7673,122158
"Comanche","Oklahoma",34.6621,-98.4717,121374
"Douglas","Kansas",38.8847,-95.2926,121304
"Richland","Ohio",40.7747,-82.5365,121043
"Saline","Arkansas",34.6467,-92.6766,120990
"Jasper","Missouri",37.2035,-94.3406,120528
"Morgan","Alabama",34.4535,-86.8529,119352
"Missoula","Montana",47.0365,-113.9237,119062
"Carroll","Georgia",33.5828,-85.0798,118692
"Tom Green","Texas",31.4044,-100.4622,118645
"Potter","Texas",35.4013,-101.8941,118323
"La Crosse","Wisconsin",43.9066,-91.1152,118168
"Oswego","New York",43.4269,-76.1413,117630
"Berkeley","West Virginia",39.4641,-78.0275,117615
"Clark","Indiana",38.4772,-85.7073,117410
"Allegan","Michigan",42.5913,-85.8884,117104
"Bonneville","Idaho",43.3877,-111.6148,116970
"Windham","Connecticut",41.83,-71.9874,116657
"Lowndes","Georgia",30.8338,-83.2677,116436
"Henderson","North Carolina",35.3363,-82.48,116298
"Wayne","Ohio",40.8289,-81.888,116063
"Sheboygan","Wisconsin",43.7212,-87.9454,115152
"Delaware","Indiana",40.2275,-85.3969,114461
"Calhoun","Alabama",33.7714,-85.826,114324
"Lycoming","Pennsylvania",41.3434,-77.0645,114014
"Fayette","Georgia",33.4139,-84.4943,113544
"St. Mary's","Maryland",38.3024,-76.6059,113182
"Flagler","Florida",29.4614,-81.3136,112854
"Pennington","South Dakota",44.0037,-102.8238,112504
"Jefferson","New York",44.0495,-75.9208,111454
"Gallatin","Montana",45.5404,-111.1704,111401
"Terrebonne","Louisiana",29.4148,-90.8663,111297
"Mercer","Pennsylvania",41.3022,-80.2577,110519
"Navajo","Arizona",35.3996,-110.3214,110271
"LaPorte","Indiana",41.546,-86.74,110026
"Douglas","Oregon",43.2797,-123.1665,110015
